Added Component: Designator=BT1(BAT-2)
Added Component: Designator=C1(1608[0603])
Added Component: Designator=C2(1608[0603])
Added Component: Designator=C3(1608[0603])
Added Component: Designator=C4(1608[0603])
Added Component: Designator=C5(1608[0603])
Added Component: Designator=C6(1608[0603])
Added Component: Designator=C7(1608[0603])
Added Component: Designator=C8(1608[0603])
Added Component: Designator=C9(1608[0603])
Added Component: Designator=C10(1608[0603])
Added Component: Designator=C11(1608[0603])
Added Component: Designator=C12(1608[0603])
Added Component: Designator=C13(CAPAE9983X105M)
Added Component: Designator=C14(CAPAE9983X105M)
Added Component: Designator=C15(1608[0603])
Added Component: Designator=C16(1608[0603])
Added Component: Designator=C17(1608[0603])
Added Component: Designator=D1(1608[0603])
Added Component: Designator=D2(1608[0603])
Added Component: Designator=D3(1608[0603])
Added Component: Designator=D4(1608[0603])
Added Component: Designator=D5(1608[0603])
Added Component: Designator=P1(HDR1X5)
Added Component: Designator=P2(BNC Connector)
Added Component: Designator=P3(BNC Connector)
Added Component: Designator=Q1(SOT95P245X110-3N)
Added Component: Designator=Q2(SOT95P245X110-3N)
Added Component: Designator=Q3(SOT95P245X110-3N)
Added Component: Designator=Q4(SOT95P245X110-3N)
Added Component: Designator=Q5(SOT95P245X110-3N)
Added Component: Designator=R1(AXIAL-0.3)
Added Component: Designator=R2(AXIAL-0.3)
Added Component: Designator=R3(AXIAL-0.3)
Added Component: Designator=R4(AXIAL-0.3)
Added Component: Designator=R5(AXIAL-0.3)
Added Component: Designator=R6(AXIAL-0.3)
Added Component: Designator=R7(AXIAL-0.3)
Added Component: Designator=R8(AXIAL-0.3)
Added Component: Designator=R9(AXIAL-0.3)
Added Component: Designator=R10(AXIAL-0.3)
Added Component: Designator=R11(AXIAL-0.3)
Added Component: Designator=R12(AXIAL-0.3)
Added Component: Designator=R13(AXIAL-0.3)
Added Component: Designator=R14(AXIAL-0.3)
Added Component: Designator=R15(AXIAL-0.3)
Added Component: Designator=R16(AXIAL-0.3)
Added Component: Designator=R17(AXIAL-0.3)
Added Component: Designator=R18(AXIAL-0.3)
Added Component: Designator=R19(AXIAL-0.3)
Added Component: Designator=R20(AXIAL-0.3)
Added Component: Designator=U1(SIM5320A)
Added Component: Designator=U3(SOT-23-OT5_N)
Added Component: Designator=U4(MP04A_N)
Added Component: Designator=U5(ONSC-SC70-6-419B-02_W_V)
Added Component: Designator=U6(EZO Conductivity)
Added Component: Designator=U7(EZO pH)
Added Component: Designator=USB1(USB Micro B Connector)
Added Component: Designator=X1(UFL Connector)
Added Component: Designator=X2(UFL Connector)
Added Component: Designator=Y1(16MHz Clock)
Added Pin To Net: NetName=1.8V Pin=U1-20
Added Pin To Net: NetName=1.8V Pin=U5-1
Added Net: Name=1.8V
Added Pin To Net: NetName=2.8V Pin=U1-44
Added Net: Name=2.8V
Added Pin To Net: NetName=3.3V Pin=Q1-1
Added Pin To Net: NetName=3.3V Pin=Q2-1
Added Pin To Net: NetName=3.3V Pin=Q3-1
Added Pin To Net: NetName=3.3V Pin=Q4-1
Added Pin To Net: NetName=3.3V Pin=Q5-1
Added Pin To Net: NetName=3.3V Pin=R12-1
Added Pin To Net: NetName=3.3V Pin=R14-1
Added Pin To Net: NetName=3.3V Pin=R16-1
Added Pin To Net: NetName=3.3V Pin=R18-1
Added Pin To Net: NetName=3.3V Pin=R20-1
Added Net: Name=3.3V
Added Pin To Net: NetName=3V3 Pin=C1-2
Added Pin To Net: NetName=3V3 Pin=C3-2
Added Pin To Net: NetName=3V3 Pin=C4-2
Added Pin To Net: NetName=3V3 Pin=C5-1
Added Pin To Net: NetName=3V3 Pin=C6-1
Added Pin To Net: NetName=3V3 Pin=C11-2
Added Pin To Net: NetName=3V3 Pin=C12-2
Added Pin To Net: NetName=3V3 Pin=C14-1
Added Pin To Net: NetName=3V3 Pin=C17-2
Added Pin To Net: NetName=3V3 Pin=P1-1
Added Pin To Net: NetName=3V3 Pin=R1-2
Added Pin To Net: NetName=3V3 Pin=R2-2
Added Pin To Net: NetName=3V3 Pin=R3-2
Added Pin To Net: NetName=3V3 Pin=U4-2
Added Pin To Net: NetName=3V3 Pin=U4-4
Added Pin To Net: NetName=3V3 Pin=U6-4
Added Pin To Net: NetName=3V3 Pin=U7-4
Added Net: Name=3V3
Added Pin To Net: NetName=COND+ Pin=P3-1
Added Pin To Net: NetName=COND+ Pin=U6-5
Added Net: Name=COND+
Added Pin To Net: NetName=COND- Pin=P3-2
Added Pin To Net: NetName=COND- Pin=P3-2
Added Pin To Net: NetName=COND- Pin=P3-2
Added Pin To Net: NetName=COND- Pin=P3-2
Added Pin To Net: NetName=COND- Pin=U6-6
Added Net: Name=COND-
Added Pin To Net: NetName=GND Pin=BT1-2
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=GND Pin=C16-1
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=GND Pin=D1-2
Added Pin To Net: NetName=GND Pin=D3-2
Added Pin To Net: NetName=GND Pin=D4-2
Added Pin To Net: NetName=GND Pin=D5-2
Added Pin To Net: NetName=GND Pin=P1-2
Added Pin To Net: NetName=GND Pin=R5-1
Added Pin To Net: NetName=GND Pin=U1-1
Added Pin To Net: NetName=GND Pin=U1-2
Added Pin To Net: NetName=GND Pin=U1-5
Added Pin To Net: NetName=GND Pin=U1-10
Added Pin To Net: NetName=GND Pin=U1-14
Added Pin To Net: NetName=GND Pin=U1-37
Added Pin To Net: NetName=GND Pin=U1-40
Added Pin To Net: NetName=GND Pin=U1-41
Added Pin To Net: NetName=GND Pin=U1-43
Added Pin To Net: NetName=GND Pin=U1-57
Added Pin To Net: NetName=GND Pin=U1-58
Added Pin To Net: NetName=GND Pin=U1-60
Added Pin To Net: NetName=GND Pin=U1-61
Added Pin To Net: NetName=GND Pin=U1-64
Added Pin To Net: NetName=GND Pin=U1-65
Added Pin To Net: NetName=GND Pin=U1-77
Added Pin To Net: NetName=GND Pin=U1-78
Added Pin To Net: NetName=GND Pin=U1-80
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=GND Pin=U4-1
Added Pin To Net: NetName=GND Pin=U5-2
Added Pin To Net: NetName=GND Pin=U6-1
Added Pin To Net: NetName=GND Pin=U7-1
Added Pin To Net: NetName=GND Pin=USB1-GND
Added Pin To Net: NetName=GND Pin=X1-2
Added Pin To Net: NetName=GND Pin=X1-3
Added Pin To Net: NetName=GND Pin=X2-2
Added Pin To Net: NetName=GND Pin=X2-3
Added Net: Name=GND
Added Pin To Net: NetName=GPS_ANT Pin=C2-1
Added Pin To Net: NetName=GPS_ANT Pin=U1-79
Added Net: Name=GPS_ANT
Added Pin To Net: NetName=GSM_ANT Pin=U1-59
Added Pin To Net: NetName=GSM_ANT Pin=X2-1
Added Net: Name=GSM_ANT
Added Net: Name=I2C1_SCL
Added Net: Name=I2C1_SDA
Added Pin To Net: NetName=I2C4_SCL Pin=R2-1
Added Pin To Net: NetName=I2C4_SCL Pin=U6-3
Added Pin To Net: NetName=I2C4_SCL Pin=U7-3
Added Net: Name=I2C4_SCL
Added Pin To Net: NetName=I2C4_SDA Pin=R3-1
Added Pin To Net: NetName=I2C4_SDA Pin=U6-2
